"LEAD_REFERENCE_NUMBER","CAMPAIGN_CODE","CIF","MARKETING_MESSAGE_LINE1","MARKETING_MESSAGE_LINE2","MARKETING_MESSAGE_LINE3","MARKETING_MESSAGE_LINE4","MARKETING_MESSAGE_LINE5","MARKETING_MESSAGE_LINE6","BRANCH_CODE","PERSONALIZED_MESSAGE","PRODUCT_OFFER","PROVINCE_CODE","REGION","CAMPAIGN_TYPE","LEAD_STATUS_CODE","OWNER_EMPLOYEE_ID","REFER_NAME","RESPONSE_DATE_TIME","RESPONSE_CODE"
"LMMM004166684","","4738054","","","","","","","620","","MMAXSVG","","60501","","1","011023314","","2018-06-03T10:20:13Z",""
"LMTD003970433","","302959","","","","","","","255","","TDT03MX","","50303","","1","000157461","","2018-01-08T10:59:26Z",""
"LMMM004166685","","8968962","","","","","","","620","","MMAXSVG","","60501","","1","011023314","","2018-06-03T10:20:53Z",""
"LMMM004166686","","10127965","","","","","","","620","","MMAXSVG","","60501","","1","011023314","","2018-06-03T10:21:31Z",""
"LMMM004166683","","8712997","","","","","","","620","","MMAXSVG","","60501","","1","011023314","","2018-06-03T10:19:28Z",""
"LMMM004166687","","12706760","","","","","","","620","","MMAXSVG","","60501","","1","011023314","","2018-06-03T10:22:14Z",""
"LMKC004166682","","14868583","","","","","","","620","","KCCVSPT","","60501","","1","011023314","","2018-06-03T10:18:05Z",""
"LMMT003969937","","9822470","","","","","","","17","","MTFXXXX","","60501","","1","000104141","","2018-01-07T15:52:15Z",""
"LMVD003969939","","19532512","","","","","","","17","","VDBXXXX","","60501","","1","000104141","","2018-01-07T15:56:00Z",""
"LMMM004166690","","16833659","","","","","","","620","","MMAXSVG","","60501","","1","011023314","","2018-06-03T10:24:19Z",""
"LMKC004004676","","4964611","","","","","","","620","","KCCXXXX","","60501","","1","000262550","","2018-02-04T11:46:56Z",""
"LMSV004004677","","17769181","","","","","","","620","","SVGATMX","","60501","","1","000262550","","2018-02-04T11:48:19Z",""
"LMKC003970364","","5617004","","","","","","","769","","KCCXXXX","","50303","","1","011030939","","2018-01-08T10:21:23Z",""
"LMMM004004675","","19955632","","","","","","","620","","MMAXSVG","","60501","","1","000262550","","2018-02-04T11:46:14Z",""
"LMEL003979541","","9561147","","","","","","","262","","ELTXXXX","","50303","","1","000191940","","2018-01-15T11:11:13Z",""
"LMSV003977392","","18530049","","","","","","","615","","SVGXXXX","","50303","","1","000393124","","2018-01-12T15:12:17Z",""
"LMSV003977418","","10599117","","","","","","","615","","SVGXXXX","","50303","","1","000393124","","2018-01-12T15:22:37Z",""
"LMSV003970210","","494928","","","","","","","301","","SVGXXXX","","50303","","1","000184440","","2018-01-08T08:57:57Z",""
"LMSV003978139","","10198079","","","","","","","620","","SVGXXXX","","60501","","1","000394676","","2018-01-12T18:50:04Z",""
"LMKM003972400","","8483948","","","","","","","474","","KMAXXXX","","50303","","1","000315713","","2018-01-09T14:44:09Z",""
"LMMM003973425","","16560801","","","","","","","255","","MMAXSVG","","50303","","1","000316984","","2018-01-10T10:31:34Z",""
"LMCM003974720","","9042526","","","","","","","86","","CMLXXXX","","60501","","2","000089037","","2018-01-10T18:18:41Z",""
"LMSV003977102","","8893485","","","","","","","361","","SVGXXXX","","50303","","1","000335661","","2018-01-12T13:09:09Z",""
"LMSV003974957","","6909228","","","","","","","35","","SVGXXXX","","50303","","1","000281154","","2018-01-11T07:12:56Z",""
"LMSV003974962","","14291945","","","","","","","35","","SVGXXXX","","50303","","1","000281154","","2018-01-11T07:22:40Z",""
"LMSV003974964","","18461465","","","","","","","35","","SVGXXXX","","50303","","1","000281154","","2018-01-11T07:36:13Z",""
"LMSV003975352","","7812845","","","","","","","301","","SVGXXXX","","50303","","1","000184440","","2018-01-11T12:06:57Z",""
"LMSV003975379","","16570096","","","","","","","301","","SVGXXXX","","50303","","1","000184440","","2018-01-11T12:18:04Z",""
"LMSV003977332","","6741932","","","","","","","629","","SVGXXXX","","60501","","1","000184002","","2018-01-12T14:40:03Z",""
"LMSV003971795","","1028926","","","","","","","301","","SVGXXXX","","50303","","1","000184440","","2018-01-09T10:00:59Z",""
"LMSV003972036","","5403811","","","","","","","301","","SVGXXXX","","50303","","1","000184440","","2018-01-09T11:56:25Z",""
"LMSV003972040","","5434013","","","","","","","301","","SVGXXXX","","50303","","1","000184440","","2018-01-09T11:57:51Z",""
"LMMM003979253","","18352518","","","","","","","620","","MMAXSVG","","60501","","1","011023314","","2018-01-14T20:17:25Z",""
"LMMM003970312","","3169165","","","","","","","769","","MMAXSVG","","50303","","1","011030939","","2018-01-08T10:04:22Z",""
"LMSV003971083","","4340494","","","","","","","17","","SVGXXXX","","60501","","1","000261073","","2018-01-08T16:15:27Z",""
"LMSM003979540","","9561147","","","","","","","262","","SMSXXXX","","50303","","1","000191940","","2018-01-15T11:11:13Z",""
"LMSV003971086","","15960723","","","","","","","17","","SVGXXXX","","60501","","1","000261073","","2018-01-08T16:16:46Z",""
"LMSV003971138","","9075517","","","","","","","17","","SVGXXXX","","60501","","1","000261073","","2018-01-08T16:40:23Z",""
"LMSV003971794","","847956","","","","","","","301","","SVGXXXX","","50303","","1","000184440","","2018-01-09T10:00:22Z",""
"LMSV003971802","","3221412","","","","","","","301","","SVGXXXX","","50303","","1","000184440","","2018-01-09T10:03:56Z",""
"LMSV003972430","","348276","","","","","","","687","","SVGXXXX","","50303","","1","011037777","","2018-01-09T14:53:13Z",""
"LMMM003971593","","5991112","","","","","","","620","","MMAXSVG","","60501","","1","011023314","","2018-01-08T20:40:06Z",""
"LMMM003971596","","14242391","","","","","","","620","","MMAXSVG","","60501","","1","011023314","","2018-01-08T20:43:15Z",""
"LMMM003971710","","9920621","","","","","","","86","","MMAXSVG","","60501","","1","011091253","","2018-01-09T09:29:45Z",""
"LMSV003971711","","7310585","","","","","","","86","","SVGATMX","","60501","","1","011091253","","2018-01-09T09:30:34Z",""
"LMSV003971911","","3906057","","","","","","","301","","SVGXXXX","","50303","","1","000184440","","2018-01-09T10:55:19Z",""
"LMSV003972031","","3978095","","","","","","","301","","SVGXXXX","","50303","","1","000184440","","2018-01-09T11:54:19Z",""
"LMSV003972034","","4747881","","","","","","","301","","SVGXXXX","","50303","","1","000184440","","2018-01-09T11:55:29Z",""
"LMSV003972041","","5524040","","","","","","","301","","SVGXXXX","","50303","","1","000184440","","2018-01-09T11:59:23Z",""
"LMSV003972685","","7161995","","","","","","","361","","SVGXXXX","","50303","","1","000335661","","2018-01-09T16:49:02Z",""
